nounsAllCount,nounsAllIndex
"('입금', 468)","('입금', 499)"
"('어차피', 466)","('어차피', 500)"
"('가야', 463)","('가야', 501)"
"('일삼', 463)","('일삼', 502)"
"('삼십일', 462)","('삼십일', 503)"
"('한가지', 454)","('한가지', 504)"
"('이형주', 454)","('이형주', 505)"
"('삼월', 453)","('삼월', 506)"
"('삼십일일', 452)","('삼십일일', 507)"
"('각각', 452)","('각각', 508)"
"('그이', 451)","('그이', 509)"
"('구일', 451)","('구일', 510)"
"('김혜미', 450)","('김혜미', 511)"
"('음음음', 447)","('음음음', 512)"
"('마지막', 447)","('마지막', 513)"
"('차이', 446)","('차이', 514)"
"('사일', 445)","('사일', 515)"
"('최은미', 441)","('최은미', 516)"
"('사본', 441)","('사본', 517)"
"('거의', 439)","('거의', 518)"
"('지급', 439)","('지급', 519)"
"('거부', 439)","('거부', 520)"
"('박스', 435)","('박스', 521)"
"('오십', 435)","('오십', 522)"
"('이십분', 434)","('이십분', 523)"
"('수량', 433)","('수량', 524)"
"('영업', 432)","('영업', 525)"
"('항공권', 432)","('항공권', 526)"
"('비번', 431)","('비번', 527)"
"('철수', 430)","('철수', 528)"
"('이유', 426)","('이유', 529)"
"('남편', 426)","('남편', 530)"
"('샤넬', 424)","('샤넬', 531)"
"('구년', 423)","('구년', 532)"
"('에프', 423)","('에프', 533)"
"('예약', 422)","('예약', 534)"
"('군데', 417)","('군데', 535)"
"('금요일', 416)","('금요일', 536)"
"('구찌', 415)","('구찌', 537)"
"('지역', 413)","('지역', 538)"
"('담당자', 412)","('담당자', 539)"
"('칠구', 411)","('칠구', 540)"
"('향수', 410)","('향수', 541)"
"('실례', 410)","('실례', 542)"
"('토요일', 410)","('토요일', 543)"
"('십일일', 408)","('십일일', 544)"
"('오픈', 408)","('오픈', 545)"
"('오만원', 407)","('오만원', 546)"
"('년도', 405)","('년도', 547)"
"('이십오', 405)","('이십오', 548)"
"('실물', 404)","('실물', 549)"
"('김은영', 404)","('김은영', 550)"
"('유지', 404)","('유지', 551)"
"('필요', 400)","('필요', 552)"
"('하라', 400)","('하라', 553)"
"('대표', 398)","('대표', 554)"
"('불가', 398)","('불가', 555)"
"('국민카드', 397)","('국민카드', 556)"
