nounsAllCount,nounsAllIndex
{'수단': 861},{'수단': 309}
{'오구': 861},{'오구': 310}
{'사은': 851},{'사은': 311}
{'일자': 850},{'일자': 312}
{'예전': 850},{'예전': 313}
{'여부': 849},{'여부': 314}
{'어플': 848},{'어플': 315}
{'육십': 846},{'육십': 316}
{'주류': 845},{'주류': 317}
{'한국': 844},{'한국': 318}
{'나중': 838},{'나중': 319}
{'무슨': 834},{'무슨': 320}
{'개별': 834},{'개별': 321}
{'전용': 832},{'전용': 322}
{'시기': 830},{'시기': 323}
{'국적': 824},{'국적': 324}
{'연락처': 824},{'연락처': 325}
{'고요': 822},{'고요': 326}
{'휴면': 821},{'휴면': 327}
{'물류': 811},{'물류': 328}
{'전산': 804},{'전산': 329}
{'십일': 803},{'십일': 330}
{'주차': 803},{'주차': 331}
{'제주': 798},{'제주': 332}
{'며칠': 794},{'며칠': 333}
{'사람': 791},{'사람': 334}
{'적립': 791},{'적립': 335}
{'열한': 787},{'열한': 336}
{'오류': 786},{'오류': 337}
{'삼백': 784},{'삼백': 338}
{'잠실': 783},{'잠실': 339}
{'더블유': 778},{'더블유': 340}
{'멤버십': 778},{'멤버십': 341}
{'식품': 772},{'식품': 342}
{'육백': 771},{'육백': 343}
{'일주일': 769},{'일주일': 344}
{'영문': 767},{'영문': 345}
{'일일': 761},{'일일': 346}
{'이면': 759},{'이면': 347}
{'최종': 758},{'최종': 348}
{'러신': 757},{'러신': 349}
{'플래티늄': 750},{'플래티늄': 350}
{'기존': 745},{'기존': 351}
{'전달': 745},{'전달': 352}
{'가격': 742},{'가격': 353}
{'화면': 742},{'화면': 354}
{'방금': 738},{'방금': 355}
{'오십분': 732},{'오십분': 356}
{'도움': 728},{'도움': 357}
{'아웃': 726},{'아웃': 358}
{'알림': 726},{'알림': 359}
{'라면': 720},{'라면': 360}
{'칠이': 720},{'칠이': 361}
{'공구': 719},{'공구': 362}
{'별로': 719},{'별로': 363}
{'상품권': 719},{'상품권': 364}
{'공공': 719},{'공공': 365}
{'상황': 717},{'상황': 366}
{'이백': 716},{'이백': 367}
{'팔일': 713},{'팔일': 368}
{'일로': 706},{'일로': 369}
{'제휴': 704},{'제휴': 370}
{'전날': 703},{'전날': 371}
{'한해': 701},{'한해': 372}
{'주점': 697},{'주점': 373}
{'박효진': 688},{'박효진': 374}
{'준비': 680},{'준비': 375}
{'국제': 680},{'국제': 376}
{'육이': 678},{'육이': 377}
{'계좌': 675},{'계좌': 378}
{'이주': 674},{'이주': 379}
{'대한': 670},{'대한': 380}
{'이건': 668},{'이건': 381}
{'팔이': 666},{'팔이': 382}
{'여덟시': 665},{'여덟시': 383}
{'하나요': 663},{'하나요': 384}
{'물품': 660},{'물품': 385}
{'포함': 652},{'포함': 386}
{'어쨌든': 652},{'어쨌든': 387}
{'박연': 651},{'박연': 388}
{'통해': 650},{'통해': 389}
{'제일': 650},{'제일': 390}
{'게이트': 648},{'게이트': 391}
{'출고': 638},{'출고': 392}
{'중국': 637},{'중국': 393}
{'제한': 634},{'제한': 394}
{'생각': 634},{'생각': 395}
{'상세': 633},{'상세': 396}
{'여섯': 632},{'여섯': 397}
{'요게': 629},{'요게': 398}
{'거나': 629},{'거나': 399}
{'모든': 629},{'모든': 400}
{'편이': 627},{'편이': 401}
{'두시': 626},{'두시': 402}
{'실버': 626},{'실버': 403}
{'입국': 625},{'입국': 404}
{'포장': 621},{'포장': 405}
{'인제': 615},{'인제': 406}
{'새벽': 613},{'새벽': 407}
{'공일': 613},{'공일': 408}
{'로그': 609},{'로그': 409}
{'답변': 609},{'답변': 410}
{'기억': 609},{'기억': 411}
{'설정': 606},{'설정': 412}
{'십오': 605},{'십오': 413}
{'일부': 602},{'일부': 414}
{'오공': 599},{'오공': 415}
